Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2016-01-27 Kl. 00-01;0,17443;0,17443;0,17443;0,13954;0,17443
2016-01-27 Kl. 01-02;0,17075;0,17075;0,17040;0,13632;0,17075
2016-01-27 Kl. 02-03;0,16993;0,16993;0,16424;0,13139;0,16993
2016-01-27 Kl. 03-04;0,16731;0,16731;0,16731;0,13385;0,16731
2016-01-27 Kl. 04-05;0,16506;0,16506;0,16506;0,13205;0,16506
2016-01-27 Kl. 05-06;0,18059;0,18059;0,18059;0,14447;0,18059
2016-01-27 Kl. 06-07;0,19895;0,19895;0,19895;0,15916;0,19895
2016-01-27 Kl. 07-08;0,20998;0,20998;0,20998;0,16798;0,20998
2016-01-27 Kl. 08-09;0,21281;0,21281;0,21281;0,16523;0,21281
2016-01-27 Kl. 09-10;0,21151;0,21151;0,21151;0,16551;0,21151
2016-01-27 Kl. 10-11;0,21199;0,21199;0,21199;0,16532;0,21199
2016-01-27 Kl. 11-12;0,20985;0,20985;0,20903;0,16722;0,20985
2016-01-27 Kl. 12-13;0,20843;0,20843;0,20843;0,16674;0,20843
2016-01-27 Kl. 13-14;0,20926;0,20926;0,20926;0,16741;0,20926
2016-01-27 Kl. 14-15;0,20926;0,20926;0,20926;0,16741;0,20926
2016-01-27 Kl. 15-16;0,20879;0,20879;0,20879;0,16447;0,20879
2016-01-27 Kl. 16-17;0,21128;0,21128;0,21128;0,16381;0,21128
2016-01-27 Kl. 17-18;0,21448;0,21448;0,21448;0,16068;0,21448
2016-01-27 Kl. 18-19;0,21199;0,21199;0,21199;0,16182;0,21199
2016-01-27 Kl. 19-20;0,20843;0,20843;0,20843;0,16674;0,20843
2016-01-27 Kl. 20-21;0,20488;0,20488;0,20488;0,16390;0,20488
2016-01-27 Kl. 21-22;0,20286;0,20286;0,20286;0,16229;0,20286
2016-01-27 Kl. 22-23;0,19363;0,19363;0,19363;0,15490;0,19363
2016-01-27 Kl. 23-00;0,17858;0,17858;0,17858;0,14286;0,17858
2016-01-28 Kl. 00-01;0,17850;0,17850;0,17850;0,14280;0,17850
2016-01-28 Kl. 01-02;0,17294;0,17294;0,17294;0,13835;0,17294
2016-01-28 Kl. 02-03;0,16879;0,16879;0,16879;0,13503;0,16879
2016-01-28 Kl. 03-04;0,16844;0,16844;0,16844;0,13475;0,16844
2016-01-28 Kl. 04-05;0,16986;0,16986;0,16986;0,13589;0,16986
2016-01-28 Kl. 05-06;0,19249;0,19249;0,19249;0,15399;0,19249
2016-01-28 Kl. 06-07;0,20326;0,20326;0,20326;0,16261;0,20326
2016-01-28 Kl. 07-08;0,20811;0,20811;0,20811;0,16649;0,20811
2016-01-28 Kl. 08-09;0,21191;0,21191;0,21191;0,16953;0,21191
2016-01-28 Kl. 09-10;0,21084;0,21084;0,21084;0,16867;0,21084
2016-01-28 Kl. 10-11;0,21060;0,21060;0,21060;0,16848;0,21060
2016-01-28 Kl. 11-12;0,20919;0,20919;0,20919;0,16735;0,20919
2016-01-28 Kl. 12-13;0,20788;0,20788;0,20788;0,16630;0,20788
2016-01-28 Kl. 13-14;0,20811;0,20811;0,20811;0,16649;0,20811
2016-01-28 Kl. 14-15;0,20753;0,20753;0,20753;0,16602;0,20753
2016-01-28 Kl. 15-16;0,20835;0,20835;0,20835;0,16668;0,20835
2016-01-28 Kl. 16-17;0,21025;0,21025;0,21025;0,16820;0,21025
2016-01-28 Kl. 17-18;0,21534;0,21534;0,21534;0,17227;0,21534
2016-01-28 Kl. 18-19;0,21155;0,21155;0,21155;0,16924;0,21155
2016-01-28 Kl. 19-20;0,20776;0,20776;0,20776;0,16621;0,20776
2016-01-28 Kl. 20-21;0,20385;0,20385;0,20385;0,16308;0,20385
